"Group","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"All sites","Substrate index","",140,4.4125,4.7,2.4,6.6,4.19484442880411,4.63015557119589
"1","Substrate index","",7,5.2,5.2,5.2,5.2,5.2,5.2
"2","Substrate index","",7,4.4,4.4,4.4,4.4,4.4,4.4
"3","Substrate index","",7,3,3,3,3,3,3
"4","Substrate index","",7,3,3,3,3,3,3
"5","Substrate index","",7,2.4,2.4,2.4,2.4,2.4,2.4
"6","Substrate index","",7,3,3,3,3,3,3
"7","Substrate index","",7,3,3,3,3,3,3
"8","Substrate index","",7,3,3,3,3,3,3
"9","Substrate index","",7,3.35,3.35,3.35,3.35,3.35,3.35
"10","Substrate index","",7,5,5,5,5,5,5
"11","Substrate index","",7,6.6,6.6,6.6,6.6,6.6,6.6
"12","Substrate index","",7,6.2,6.2,6.2,6.2,6.2,6.2
"13","Substrate index","",7,3.6,3.6,3.6,3.6,3.6,3.6
"14","Substrate index","",7,3.5,3.5,3.5,3.5,3.5,3.5
"15","Substrate index","",7,5.2,5.2,5.2,5.2,5.2,5.2
"16","Substrate index","",7,5.2,5.2,5.2,5.2,5.2,5.2
"17","Substrate index","",7,5,5,5,5,5,5
"18","Substrate index","",7,6.2,6.2,6.2,6.2,6.2,6.2
"19","Substrate index","",7,5.7,5.7,5.7,5.7,5.7,5.7
"20","Substrate index","",7,5.7,5.7,5.7,5.7,5.7,5.7
"All sites","Riparian vegetation","%",140,65.5,100,0,100,58.2971052588706,72.7028947411294
"1","Riparian vegetation","%",7,0,0,0,0,0,0
"2","Riparian vegetation","%",7,70,70,70,70,70,70
"3","Riparian vegetation","%",7,100,100,100,100,100,100
"4","Riparian vegetation","%",7,80,80,80,80,80,80
"5","Riparian vegetation","%",7,10,10,10,10,10,10
"6","Riparian vegetation","%",7,0,0,0,0,0,0
"7","Riparian vegetation","%",7,100,100,100,100,100,100
"8","Riparian vegetation","%",7,30,30,30,30,30,30
"9","Riparian vegetation","%",7,0,0,0,0,0,0
"10","Riparian vegetation","%",7,20,20,20,20,20,20
"11","Riparian vegetation","%",7,0,0,0,0,0,0
"12","Riparian vegetation","%",7,100,100,100,100,100,100
"13","Riparian vegetation","%",7,100,100,100,100,100,100
"14","Riparian vegetation","%",7,100,100,100,100,100,100
"15","Riparian vegetation","%",7,100,100,100,100,100,100
"16","Riparian vegetation","%",7,100,100,100,100,100,100
"17","Riparian vegetation","%",7,100,100,100,100,100,100
"18","Riparian vegetation","%",7,100,100,100,100,100,100
"19","Riparian vegetation","%",7,100,100,100,100,100,100
"20","Riparian vegetation","%",7,100,100,100,100,100,100
"All sites","Overhanging trees","%",140,45.75,7.5,0,100,37.5117713348823,53.9882286651177
"1","Overhanging trees","%",7,10,10,10,10,10,10
"2","Overhanging trees","%",7,0,0,0,0,0,0
"3","Overhanging trees","%",7,0,0,0,0,0,0
"4","Overhanging trees","%",7,5,5,5,5,5,5
"5","Overhanging trees","%",7,0,0,0,0,0,0
"6","Overhanging trees","%",7,0,0,0,0,0,0
"7","Overhanging trees","%",7,0,0,0,0,0,0
"8","Overhanging trees","%",7,0,0,0,0,0,0
"9","Overhanging trees","%",7,0,0,0,0,0,0
"10","Overhanging trees","%",7,0,0,0,0,0,0
"11","Overhanging trees","%",7,0,0,0,0,0,0
"12","Overhanging trees","%",7,100,100,100,100,100,100
"13","Overhanging trees","%",7,100,100,100,100,100,100
"14","Overhanging trees","%",7,100,100,100,100,100,100
"15","Overhanging trees","%",7,100,100,100,100,100,100
"16","Overhanging trees","%",7,100,100,100,100,100,100
"17","Overhanging trees","%",7,100,100,100,100,100,100
"18","Overhanging trees","%",7,100,100,100,100,100,100
"19","Overhanging trees","%",7,100,100,100,100,100,100
"20","Overhanging trees","%",7,100,100,100,100,100,100
"All sites","Wood cover","%",140,2.6,0,0,30,1.48834932742114,3.71165067257886
"1","Wood cover","%",7,0,0,0,0,0,0
"2","Wood cover","%",7,0,0,0,0,0,0
"3","Wood cover","%",7,0,0,0,0,0,0
"4","Wood cover","%",7,0,0,0,0,0,0
"5","Wood cover","%",7,0,0,0,0,0,0
"6","Wood cover","%",7,0,0,0,0,0,0
"7","Wood cover","%",7,0,0,0,0,0,0
"8","Wood cover","%",7,0,0,0,0,0,0
"9","Wood cover","%",7,3,3,3,3,3,3
"10","Wood cover","%",7,0,0,0,0,0,0
"11","Wood cover","%",7,0,0,0,0,0,0
"12","Wood cover","%",7,0,0,0,0,0,0
"13","Wood cover","%",7,0,0,0,0,0,0
"14","Wood cover","%",7,0,0,0,0,0,0
"15","Wood cover","%",7,6,6,6,6,6,6
"16","Wood cover","%",7,2,2,2,2,2,2
"17","Wood cover","%",7,30,30,30,30,30,30
"18","Wood cover","%",7,7,7,7,7,7,7
"19","Wood cover","%",7,4,4,4,4,4,4
"20","Wood cover","%",7,0,0,0,0,0,0
"All sites","Emergent vegetation","",120,1.16666666666667,0,0,40,0.223969980221986,2.10936335311135
"1","Emergent vegetation","",6,0,0,0,0,0,0
"2","Emergent vegetation","",6,0,0,0,0,0,0
"3","Emergent vegetation","",6,0,0,0,0,0,0
"4","Emergent vegetation","",6,0,0,0,0,0,0
"5","Emergent vegetation","",6,11.6666666666667,0,0,40,-7.58888070637826,30.9222140397116
"6","Emergent vegetation","",6,11.6666666666667,10,10,20,7.38236360727281,15.9509697260605
"7","Emergent vegetation","",6,0,0,0,0,0,0
"8","Emergent vegetation","",6,0,0,0,0,0,0
"9","Emergent vegetation","",6,0,0,0,0,0,0
"10","Emergent vegetation","",6,0,0,0,0,0,0
"11","Emergent vegetation","",6,0,0,0,0,0,0
"12","Emergent vegetation","",6,0,0,0,0,0,0
"13","Emergent vegetation","",6,0,0,0,0,0,0
"14","Emergent vegetation","",6,0,0,0,0,0,0
"15","Emergent vegetation","",6,0,0,0,0,0,0
"16","Emergent vegetation","",6,0,0,0,0,0,0
"17","Emergent vegetation","",6,0,0,0,0,0,0
"18","Emergent vegetation","",6,0,0,0,0,0,0
"19","Emergent vegetation","",6,0,0,0,0,0,0
"20","Emergent vegetation","",6,0,0,0,0,0,0
"All sites","Submerged vegetation","",120,5.58333333333333,0,0,190,1.29399699788882,9.87266966877785
"1","Submerged vegetation","",6,0,0,0,0,0,0
"2","Submerged vegetation","",6,0,0,0,0,0,0
"3","Submerged vegetation","",6,0,0,0,0,0,0
"4","Submerged vegetation","",6,0,0,0,0,0,0
"5","Submerged vegetation","",6,51.6666666666667,50,0,120,5.00905238152384,98.3242809518095
"6","Submerged vegetation","",6,46.6666666666667,0,0,190,-36.1434921937516,129.476825527085
"7","Submerged vegetation","",6,5,5,5,5,5,5
"8","Submerged vegetation","",6,8.33333333333333,10,0,10,4.04903027393948,12.6176363927272
"9","Submerged vegetation","",6,0,0,0,0,0,0
"10","Submerged vegetation","",6,0,0,0,0,0,0
"11","Submerged vegetation","",6,0,0,0,0,0,0
"12","Submerged vegetation","",6,0,0,0,0,0,0
"13","Submerged vegetation","",6,0,0,0,0,0,0
"14","Submerged vegetation","",6,0,0,0,0,0,0
"15","Submerged vegetation","",6,0,0,0,0,0,0
"16","Submerged vegetation","",6,0,0,0,0,0,0
"17","Submerged vegetation","",6,0,0,0,0,0,0
"18","Submerged vegetation","",6,0,0,0,0,0,0
"19","Submerged vegetation","",6,0,0,0,0,0,0
"20","Submerged vegetation","",6,0,0,0,0,0,0
"All sites","Temperature","Degree C",140,17.4935714285714,17.6,8.3,26.6,16.7125170748589,18.274625782284
"1","Temperature","Degree C",7,17.9428571428571,17.6,12.8,26,13.4933791228958,22.3923351628185
"2","Temperature","Degree C",7,17.8,17.6,12.7,25.8,13.3309753839849,22.2690246160151
"3","Temperature","Degree C",7,17.2571428571429,17.1,10.6,25.2,12.6969070169699,21.8173786973158
"4","Temperature","Degree C",7,17.3142857142857,17.1,10.6,25.6,12.6604247302248,21.9681466983466
"5","Temperature","Degree C",7,16.2285714285714,16.4,8.3,24.2,10.87225472225,21.5848881348929
"6","Temperature","Degree C",7,16.0428571428571,15.9,8.3,24.1,10.7158587927838,21.3698554929305
"7","Temperature","Degree C",7,18.1285714285714,17.9,11.7,26.6,13.4137582714091,22.8433845857337
"8","Temperature","Degree C",7,18.2571428571429,17.9,12.6,25.9,14.1401568736383,22.3741288406475
"9","Temperature","Degree C",7,16.5,16.1,11.2,22.1,12.5017130904072,20.4982869095928
"10","Temperature","Degree C",7,16.6428571428571,16.1,11.2,22.5,12.4814427629388,20.8042715227755
"11","Temperature","Degree C",7,17.9571428571429,17.9,11.4,24.4,13.4326846743447,22.481601039941
"12","Temperature","Degree C",7,18.1,17.9,11.4,25.4,13.3639830057606,22.8360169942395
"13","Temperature","Degree C",7,17.7571428571429,18.8,9.7,24.3,12.8654003047247,22.648885409561
"14","Temperature","Degree C",7,17.7571428571429,18.8,9.7,24.3,12.8654003047247,22.648885409561
"15","Temperature","Degree C",7,17.4285714285714,17.7,10.5,23.2,12.9903670936256,21.8667757635173
"16","Temperature","Degree C",7,17.4714285714286,17.7,10.4,23.4,13.0101575376652,21.9326996051919
"17","Temperature","Degree C",7,17.8857142857143,17.9,11.1,25.3,13.2604286983232,22.5109998731054
"18","Temperature","Degree C",7,17.9,17.9,11.1,25.4,13.2517874655222,22.5482125344778
"19","Temperature","Degree C",7,17.7,18.1,11.1,24.2,13.3140464078479,22.0859535921521
"20","Temperature","Degree C",7,17.8,18.1,11.1,24.9,13.2619687267684,22.3380312732316
"All sites","Dissolved oxygen","mg/l",140,9.96278571428571,10,3.21,11.89,9.78577714613224,10.1397942824392
"1","Dissolved oxygen","mg/l",7,10.7442857142857,11.07,9.03,11.89,9.89244207744052,11.5961293511309
"2","Dissolved oxygen","mg/l",7,10.6328571428571,10.92,9.03,11.54,9.84204256240941,11.4236717233049
"3","Dissolved oxygen","mg/l",7,10.6571428571429,10.79,9.5,11.76,10.016976007435,11.2973097068508
"4","Dissolved oxygen","mg/l",7,10.53,10.33,9.5,11.76,9.87559946857466,11.1844005314253
"5","Dissolved oxygen","mg/l",7,9.36714285714286,9.97,5.75,11.19,7.63677718769092,11.0975085265948
"6","Dissolved oxygen","mg/l",7,8.46285714285714,9.6,3.21,11.19,5.75642433365699,11.1692899520573
