"Monitoring_ID","Date_Time_out","Net_type","Amount_nets","Species","Scientific_name","Species_name","Maori_name","Native/nonnative","Taonga","Amount","Sex","Length_mm","Weight_g","Soft_shelled","Berried","Youngs","Cups","mL","Comments","Site_ID","ID","Monitoring","Monitoring_ID.","Lake","Site","LID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Notes","Distance_5m","Distance_20m","Distance_deep_20m","Calculated_slope","Total_ weight_reef","Season"
"3_0",2025-02-05 15:39:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Eel","Anguilla dieffenbachii","Long_fin_eel","Tuna","Native","Yes",1,NA,600,NA,NA,NA,NA,NA,NA,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Morihana","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,204,22,NA,NA,NA,NA,NA,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Common_smelt","Retropinna retropinna","Common_smelt","Common_smelt","Native","No",19,NA,NA,25,NA,NA,NA,NA,NA,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,574,NA,NA,NA,2.5,591.47,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,537,NA,NA,NA,2.5,591.47,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,386,NA,NA,NA,1.75,414.029,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,365,NA,NA,NA,2,473.176,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Morihana","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,80,6,NA,NA,NA,NA,NA,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
"3_0",2025-02-05 15:39:00,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,73,6,NA,NA,NA,NA,NA,NA,3,1,0,"1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,"Summer"
