location_type,period,season,psi_mean,psi_lwr,psi_upr
Stone_pile,Before,Summer,0.7044619378947308,0.14411679585725637,0.9999015330472073
Control,Before,Summer,0.7483534522602134,0.23486205531461232,0.9998764605268599
Reference1,Before,Summer,0.8141618951134332,0.26141055485332015,0.999901862787477
Reference2,Before,Summer,0.8503061168714141,0.3750691939738481,0.9998717572432262
Stone_pile,After,Autumn,0.9713429416561281,0.8046795378984386,0.9999904419076675
Control,After,Autumn,0.9376541115852843,0.6472787592058244,0.9999368931162208
Reference1,After,Autumn,0.9623023261245985,0.7098944991342677,0.9999937173636797
Reference2,After,Autumn,0.9443490720970897,0.5929749425113104,0.9999921177245503
Stone_pile,After,Winter,0.8120024695481168,0.2467525750344388,0.9999463774216563
Control,After,Winter,0.7319669780469917,0.18899857980465778,0.9998427413425146
Reference1,After,Winter,0.8883072224661437,0.41348949121364326,0.9999765761082138
Reference2,After,Winter,0.7873874987343553,0.2074572046802157,0.9999671660218346
Stone_pile,After,Spring,0.8794781462480497,0.33360718530297684,0.9999841488237953
Control,After,Spring,0.8419583910861445,0.3278459215569777,0.9999444179408888
Reference1,After,Spring,0.9182146298795374,0.4426156564926365,0.9999906861849032
Reference2,After,Spring,0.8464031190906137,0.2371439016273538,0.9999880952749916
Stone_pile,After,Summer,0.9064918101616638,0.5199868685876096,0.9999123056257876
Control,After,Summer,0.8744914257951896,0.4859251242025899,0.9998434414519181
Reference1,After,Summer,0.936562028532111,0.6192498108598163,0.9999328441328706
Reference2,After,Summer,0.9409033118168273,0.6685379993067976,0.9999030381292144
