site_id,site_type,max_eff_fetch_km,mean_eff_fetch_km,dominant_dir_deg,max_raw_fetch_km,dominant_raw_dir
1,Stone_pile,4.76,1.71,320,9.08,300
2,Control,4.79,1.62,320,9.12,300
3,Stone_pile,1.71,0.66,40,2.02,50
4,Control,1.74,0.65,30,2.14,10
5,Stone_pile,0.61,0.21,230,2.65,200
6,Control,0.55,0.18,210,1.17,180
7,Stone_pile,2.5,0.86,50,5.07,60
8,Control,2.22,0.82,30,5.1,60
9,Stone_pile,3.59,0.99,170,6.07,140
10,Control,3.74,1.27,180,6.07,140
11,Reference,4.47,1.47,120,7.31,100
12,Reference,4.17,1.29,120,7.37,100
13,Reference,1.71,0.58,270,2.24,260
14,Reference,1.65,0.6,260,2.04,260
15,Reference,1.44,0.6,190,1.82,180
16,Reference,1.4,0.6,190,1.76,180
17,Reference,3.47,1,130,10.19,110
18,Reference,3.46,1.12,130,10.18,110
19,Reference,2.63,0.72,200,4.55,170
20,Reference,2.87,0.8,190,4.52,170
