location_type,period,season,psi_mean,psi_lwr,psi_upr
Stone_pile,Before,Summer,0.8056154112023446,0.2595441529332559,0.9999845911630497
Control,Before,Summer,0.8217888279670363,0.3386132740946859,0.999979809789542
Reference1,Before,Summer,0.8579861656309717,0.35515994275093954,0.9999825439838562
Reference2,Before,Summer,0.8924758846006967,0.4933414024782948,0.99998528047447
Stone_pile,After,Autumn,0.9332716318269585,0.6867004474074764,0.999986066156373
Control,After,Autumn,0.8791565238197636,0.5328065230309872,0.9999781537927396
Reference1,After,Autumn,0.9309135518532853,0.6534443184241641,0.9999883898377074
Reference2,After,Autumn,0.9229045146927363,0.6294938529282206,0.999988165926741
Stone_pile,After,Summer,0.9328168351673555,0.6385452486649562,0.999986952522228
Control,After,Summer,0.8875482574374278,0.5337718961749283,0.999980429211224
Reference1,After,Summer,0.9316679009210851,0.6157206493264561,0.9999873181658941
Reference2,After,Summer,0.9361837202138319,0.6705226118985295,0.9999892581973706
