"Section","Question","Species","Response","β [95% CI]","Result"
"Before: stone pile vs control","Were stone pile and control sites comparable before construction?","Kōura","abundance","0.29 [-1.76, 2.33]","Non-significant positive"
"Before: stone pile vs control","Were stone pile and control sites comparable before construction?","Kōura","biomass","1.04 [-0.87, 2.96]","Non-significant positive"
"Before: stone pile vs control","Were stone pile and control sites comparable before construction?","Catfish","abundance","-0.69 [-3.7, 2.32]","Non-significant negative"
"Before: stone pile vs control","Were stone pile and control sites comparable before construction?","Catfish","biomass","-5.1 [-11.19, 0.99]","Non-significant negative"
"Before: reference 1 vs reference 2","Were reference groups comparable at baseline?","Kōura","abundance","0.03 [-1.49, 1.56]","Non-significant positive"
"Before: reference 1 vs reference 2","Were reference groups comparable at baseline?","Kōura","biomass","-0.04 [-1.38, 1.29]","Non-significant negative"
"Before: reference 1 vs reference 2","Were reference groups comparable at baseline?","Catfish","abundance","-1.66 [-2.71, -0.6]","Significant negative"
"Before: reference 1 vs reference 2","Were reference groups comparable at baseline?","Catfish","biomass","-2.57 [-4.03, -1.11]","Significant negative"
"Before–After: BACI","Was the before-to-after change greater at stone pile than control sites?","Kōura","abundance","0.31 [-2.1, 2.73]","Non-significant positive"
"Before–After: BACI","Was the before-to-after change greater at stone pile than control sites?","Kōura","biomass","-0.34 [-3.22, 2.55]","Non-significant negative"
"Before–After: BACI","Was the before-to-after change greater at stone pile than control sites?","Kōura","occupancy","1.01 [-2.44, 4.47]","Non-significant positive"
"Before–After: BACI","Was the before-to-after change greater at stone pile than control sites?","Catfish","abundance","2 [-1.86, 5.87]","Non-significant positive"
"Before–After: BACI","Was the before-to-after change greater at stone pile than control sites?","Catfish","biomass","5.44 [-5.52, 16.4]","Non-significant positive"
"Before–After: BACI","Was the before-to-after change greater at stone pile than control sites?","Catfish","occupancy","0.39 [-3.86, 4.64]","Non-significant positive"
"After: trajectory","Did stone pile and control sites diverge over the post-construction period?","Kōura","abundance","0.24 [-0.11, 0.59]","Non-significant positive"
"After: trajectory","Did stone pile and control sites diverge over the post-construction period?","Kōura","biomass","0.37 [-0.1, 0.83]","Non-significant positive"
"After: trajectory","Did stone pile and control sites diverge over the post-construction period?","Kōura","occupancy","0.23 [-0.64, 1.09]","Non-significant positive"
"After: trajectory","Did stone pile and control sites diverge over the post-construction period?","Catfish","abundance","0.83 [-0.26, 1.92]","Non-significant positive"
"After: trajectory","Did stone pile and control sites diverge over the post-construction period?","Catfish","biomass","1.36 [-0.55, 3.27]","Non-significant positive"
"After: trajectory","Did stone pile and control sites diverge over the post-construction period?","Catfish","occupancy","0.74 [-0.34, 1.81]","Non-significant positive"
"Convergence toward reference","Did stone pile sites converge toward reference site levels over time?","Kōura","abundance","-0.09 [-0.3, 0.13]","Non-significant negative"
"Convergence toward reference","Did stone pile sites converge toward reference site levels over time?","Kōura","biomass","0.02 [-0.26, 0.29]","Non-significant positive"
"Convergence toward reference","Did stone pile sites converge toward reference site levels over time?","Catfish","abundance","0.51 [-0.27, 1.29]","Non-significant positive"
"Convergence toward reference","Did stone pile sites converge toward reference site levels over time?","Catfish","biomass","0.69 [-0.56, 1.94]","Non-significant positive"
"Reference stability","Were reference site conditions stable across monitoring rounds?","Kōura","abundance","-0.07 [-0.24, 0.1]","Non-significant negative"
"Reference stability","Were reference site conditions stable across monitoring rounds?","Kōura","biomass","-0.07 [-0.32, 0.17]","Non-significant negative"
"Reference stability","Were reference site conditions stable across monitoring rounds?","Catfish","abundance","-0.15 [-0.71, 0.41]","Non-significant negative"
"Reference stability","Were reference site conditions stable across monitoring rounds?","Catfish","biomass","0.02 [-0.8, 0.84]","Non-significant positive"
