"RQ","species","response_type","comparison","time_frame","family","data","formula","term_of_interest"
"RQ1","Catfish","abundance","treatment","before","tweedie","rq1a_data","Weighted_CPUE_Catfish ~ Site_type_detail","Site_type_detailStone_pile"
"RQ1","Catfish","biomass","treatment","before","tweedie","rq1a_data","Weighted_BPUE_Catfish ~ Site_type_detail","Site_type_detailStone_pile"
"RQ1","Kōura","abundance","treatment","before","tweedie","rq1a_data","Weighted_CPUE_Kōura ~ Site_type_detail","Site_type_detailStone_pile"
"RQ1","Kōura","biomass","treatment","before","tweedie","rq1a_data","Weighted_BPUE_Kōura ~ Site_type_detail","Site_type_detailStone_pile"
"RQ1","Catfish","abundance","reference","before","tweedie","rq1b_data","Weighted_CPUE_Catfish ~ Site_type_detail + Temperature","Site_type_detailReference_2"
"RQ1","Catfish","biomass","reference","before","tweedie","rq1b_data","Weighted_BPUE_Catfish ~ Site_type_detail + Temperature","Site_type_detailReference_2"
"RQ1","Kōura","abundance","reference","before","tweedie","rq1b_data","Weighted_CPUE_Kōura ~ Site_type_detail","Site_type_detailReference_2"
"RQ1","Kōura","biomass","reference","before","tweedie","rq1b_data","Weighted_BPUE_Kōura ~ Site_type_detail","Site_type_detailReference_2"
"RQ2a","Catfish","abundance","vs_control","full","tweedie","rq2a_data","Weighted_CPUE_Catfish ~ Period * site + monitoring_int + fetch_z +      (1 | pair_id/site_id)","PeriodAfter:siteStone_pile"
"RQ2a","Catfish","biomass","vs_control","full","tweedie","rq2a_data","Weighted_BPUE_Catfish ~ Period * site + monitoring_int + fetch_z +      (1 | pair_id/site_id)","PeriodAfter:siteStone_pile"
"RQ2a","Catfish","occupancy","vs_control","full","binomial","rq2a_data","Presence_Catfish ~ Period * site + monitoring_int + fetch_z +      (1 | pair_id/site_id)","PeriodAfter:siteStone_pile"
"RQ2a","Kōura","abundance","vs_control","full","tweedie","rq2a_data","Weighted_CPUE_Kōura ~ Period * site + monitoring_int + (1 |      pair_id/site_id)","PeriodAfter:siteStone_pile"
"RQ2a","Kōura","biomass","vs_control","full","tweedie","rq2a_data","Weighted_BPUE_Kōura ~ Period * site + monitoring_int + (1 |      pair_id/site_id)","PeriodAfter:siteStone_pile"
"RQ2a","Kōura","occupancy","vs_control","full","binomial","rq2a_data","Presence_Kōura ~ Period * site + monitoring_int + (1 | pair_id/site_id)","PeriodAfter:siteStone_pile"
"RQ2b","Catfish","abundance","vs_control","after","tweedie","rq2b_data","Weighted_CPUE_Catfish ~ site * monitoring_int + fetch_z + (1 |      pair_id/site_id)","siteStone_pile:monitoring_int"
"RQ2b","Catfish","biomass","vs_control","after","tweedie","rq2b_data","Weighted_BPUE_Catfish ~ site * monitoring_int + fetch_z + (1 |      pair_id/site_id)","siteStone_pile:monitoring_int"
"RQ2b","Catfish","occupancy","vs_control","after","binomial","rq2b_data","Presence_Catfish ~ site * monitoring_int + fetch_z + (1 | pair_id/site_id)","siteStone_pile:monitoring_int"
"RQ2b","Kōura","abundance","vs_control","after","tweedie","rq2b_data","Weighted_CPUE_Kōura ~ site * monitoring_int + (1 | pair_id/site_id)","siteStone_pile:monitoring_int"
"RQ2b","Kōura","biomass","vs_control","after","tweedie","rq2b_data","Weighted_BPUE_Kōura ~ site * monitoring_int + (1 | pair_id/site_id)","siteStone_pile:monitoring_int"
"RQ2b","Kōura","occupancy","vs_control","after","binomial","rq2b_data","Presence_Kōura ~ site * monitoring_int + (1 | pair_id/site_id)","siteStone_pile:monitoring_int"
"RQ3a","Catfish","abundance","vs_reference","after","tweedie","rq3a_data","Weighted_CPUE_Catfish ~ site * monitoring_int + Temperature +      (1 | site_id)","siteStone_pile:monitoring_int"
"RQ3a","Catfish","biomass","vs_reference","after","tweedie","rq3a_data","Weighted_BPUE_Catfish ~ site * monitoring_int + (1 | site_id)","siteStone_pile:monitoring_int"
"RQ3a","Kōura","abundance","vs_reference","after","tweedie","rq3a_data","Weighted_CPUE_Kōura ~ site * monitoring_int + (1 | site_id)","siteStone_pile:monitoring_int"
"RQ3a","Kōura","biomass","vs_reference","after","tweedie","rq3a_data","Weighted_BPUE_Kōura ~ site * monitoring_int + (1 | site_id)","siteStone_pile:monitoring_int"
"RQ3b","Catfish","abundance","reference","after","tweedie","rq3b_data","Weighted_CPUE_Catfish ~ Site_type_detail * monitoring_int + Temperature +      (1 | pair_id/site_id)","Site_type_detailReference_2:monitoring_int"
"RQ3b","Catfish","biomass","reference","after","tweedie","rq3b_data","Weighted_BPUE_Catfish ~ Site_type_detail * monitoring_int + (1 |      pair_id/site_id)","Site_type_detailReference_2:monitoring_int"
"RQ3b","Kōura","abundance","reference","after","tweedie","rq3b_data","Weighted_CPUE_Kōura ~ Site_type_detail * monitoring_int + Season +      (1 | pair_id/site_id)","Site_type_detailReference_2:monitoring_int"
"RQ3b","Kōura","biomass","reference","after","tweedie","rq3b_data","Weighted_BPUE_Kōura ~ Site_type_detail * monitoring_int + (1 |      pair_id/site_id)","Site_type_detailReference_2:monitoring_int"
