"Group","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"All sites","Substrate index","",100,22.0625,23.5,12,33,20.7683844912828,23.3566155087172
"1","Substrate index","",5,26,26,26,26,26,26
"2","Substrate index","",5,22,22,22,22,22,22
"3","Substrate index","",5,15,15,15,15,15,15
"4","Substrate index","",5,15,15,15,15,15,15
"5","Substrate index","",5,12,12,12,12,12,12
"6","Substrate index","",5,15,15,15,15,15,15
"7","Substrate index","",5,15,15,15,15,15,15
"8","Substrate index","",5,15,15,15,15,15,15
"9","Substrate index","",5,16.75,16.75,16.75,16.75,16.75,16.75
"10","Substrate index","",5,25,25,25,25,25,25
"11","Substrate index","",5,33,33,33,33,33,33
"12","Substrate index","",5,31,31,31,31,31,31
"13","Substrate index","",5,18,18,18,18,18,18
"14","Substrate index","",5,17.5,17.5,17.5,17.5,17.5,17.5
"15","Substrate index","",5,26,26,26,26,26,26
"16","Substrate index","",5,26,26,26,26,26,26
"17","Substrate index","",5,25,25,25,25,25,25
"18","Substrate index","",5,31,31,31,31,31,31
"19","Substrate index","",5,28.5,28.5,28.5,28.5,28.5,28.5
"20","Substrate index","",5,28.5,28.5,28.5,28.5,28.5,28.5
"All sites","Riparian vegetation","%",100,65.5,100,0,100,56.9347445912478,74.0652554087523
"1","Riparian vegetation","%",5,0,0,0,0,0,0
"2","Riparian vegetation","%",5,70,70,70,70,70,70
"3","Riparian vegetation","%",5,100,100,100,100,100,100
"4","Riparian vegetation","%",5,80,80,80,80,80,80
"5","Riparian vegetation","%",5,10,10,10,10,10,10
"6","Riparian vegetation","%",5,0,0,0,0,0,0
"7","Riparian vegetation","%",5,100,100,100,100,100,100
"8","Riparian vegetation","%",5,30,30,30,30,30,30
"9","Riparian vegetation","%",5,0,0,0,0,0,0
"10","Riparian vegetation","%",5,20,20,20,20,20,20
"11","Riparian vegetation","%",5,0,0,0,0,0,0
"12","Riparian vegetation","%",5,100,100,100,100,100,100
"13","Riparian vegetation","%",5,100,100,100,100,100,100
"14","Riparian vegetation","%",5,100,100,100,100,100,100
"15","Riparian vegetation","%",5,100,100,100,100,100,100
"16","Riparian vegetation","%",5,100,100,100,100,100,100
"17","Riparian vegetation","%",5,100,100,100,100,100,100
"18","Riparian vegetation","%",5,100,100,100,100,100,100
"19","Riparian vegetation","%",5,100,100,100,100,100,100
"20","Riparian vegetation","%",5,100,100,100,100,100,100
"All sites","Overhanging trees","%",100,45.75,7.5,0,100,35.9535868677191,55.5464131322809
"1","Overhanging trees","%",5,10,10,10,10,10,10
"2","Overhanging trees","%",5,0,0,0,0,0,0
"3","Overhanging trees","%",5,0,0,0,0,0,0
"4","Overhanging trees","%",5,5,5,5,5,5,5
"5","Overhanging trees","%",5,0,0,0,0,0,0
"6","Overhanging trees","%",5,0,0,0,0,0,0
"7","Overhanging trees","%",5,0,0,0,0,0,0
"8","Overhanging trees","%",5,0,0,0,0,0,0
"9","Overhanging trees","%",5,0,0,0,0,0,0
"10","Overhanging trees","%",5,0,0,0,0,0,0
"11","Overhanging trees","%",5,0,0,0,0,0,0
"12","Overhanging trees","%",5,100,100,100,100,100,100
"13","Overhanging trees","%",5,100,100,100,100,100,100
"14","Overhanging trees","%",5,100,100,100,100,100,100
"15","Overhanging trees","%",5,100,100,100,100,100,100
"16","Overhanging trees","%",5,100,100,100,100,100,100
"17","Overhanging trees","%",5,100,100,100,100,100,100
"18","Overhanging trees","%",5,100,100,100,100,100,100
"19","Overhanging trees","%",5,100,100,100,100,100,100
"20","Overhanging trees","%",5,100,100,100,100,100,100
"All sites","Wood cover","%",100,2.6,0,0,30,1.27809092342002,3.92190907657998
"1","Wood cover","%",5,0,0,0,0,0,0
"2","Wood cover","%",5,0,0,0,0,0,0
"3","Wood cover","%",5,0,0,0,0,0,0
"4","Wood cover","%",5,0,0,0,0,0,0
"5","Wood cover","%",5,0,0,0,0,0,0
"6","Wood cover","%",5,0,0,0,0,0,0
"7","Wood cover","%",5,0,0,0,0,0,0
"8","Wood cover","%",5,0,0,0,0,0,0
"9","Wood cover","%",5,3,3,3,3,3,3
"10","Wood cover","%",5,0,0,0,0,0,0
"11","Wood cover","%",5,0,0,0,0,0,0
"12","Wood cover","%",5,0,0,0,0,0,0
"13","Wood cover","%",5,0,0,0,0,0,0
"14","Wood cover","%",5,0,0,0,0,0,0
"15","Wood cover","%",5,6,6,6,6,6,6
"16","Wood cover","%",5,2,2,2,2,2,2
"17","Wood cover","%",5,30,30,30,30,30,30
"18","Wood cover","%",5,7,7,7,7,7,7
"19","Wood cover","%",5,4,4,4,4,4,4
"20","Wood cover","%",5,0,0,0,0,0,0
"All sites","Emergent vegetation","",100,1.2,0,0,40,0.134261488203478,2.26573851179652
"1","Emergent vegetation","",5,0,0,0,0,0,0
"2","Emergent vegetation","",5,0,0,0,0,0,0
"3","Emergent vegetation","",5,0,0,0,0,0,0
"4","Emergent vegetation","",5,0,0,0,0,0,0
"5","Emergent vegetation","",5,14,0,0,40,-10.2044872716907,38.2044872716907
"6","Emergent vegetation","",5,10,10,10,10,10,10
"7","Emergent vegetation","",5,0,0,0,0,0,0
"8","Emergent vegetation","",5,0,0,0,0,0,0
"9","Emergent vegetation","",5,0,0,0,0,0,0
"10","Emergent vegetation","",5,0,0,0,0,0,0
"11","Emergent vegetation","",5,0,0,0,0,0,0
"12","Emergent vegetation","",5,0,0,0,0,0,0
"13","Emergent vegetation","",5,0,0,0,0,0,0
"14","Emergent vegetation","",5,0,0,0,0,0,0
"15","Emergent vegetation","",5,0,0,0,0,0,0
"16","Emergent vegetation","",5,0,0,0,0,0,0
"17","Emergent vegetation","",5,0,0,0,0,0,0
"18","Emergent vegetation","",5,0,0,0,0,0,0
"19","Emergent vegetation","",5,0,0,0,0,0,0
"20","Emergent vegetation","",5,0,0,0,0,0,0
"All sites","Submerged vegetation","",100,3.55,0,0,90,0.803718070172083,6.29628192982792
"1","Submerged vegetation","",5,0,0,0,0,0,0
