contrast,mean,median,lower95,upper95,p_direction,period,season,model
Stone_pile - Control,0.03200038436647426,0.014066459327047254,-0.2921367895172926,0.36651059810967235,0.6449,After,Summer,full_model
Reference1 - Reference2,-0.004341283284716271,2.537921168975221e-4,-0.317710144471496,0.2657864271678033,0.5184,After,Summer,full_model
Control - Reference (mean),-0.0642412443792796,-0.027974517258168352,-0.3929232682571217,0.11456536170991441,0.2764,After,Summer,full_model
Stone_pile - Reference (mean),-0.03224086001280533,-0.003249975035453101,-0.38444128612109735,0.18555345607960236,0.4494,After,Summer,full_model
Stone_pile - Control,0.03368883007084378,0.008894708632438297,-0.12864590131920556,0.31536515267343423,0.7157,After,Autumn,full_model
Reference1 - Reference2,0.017953254027508747,2.8413330735943543e-4,-0.2464736198059802,0.3708843600002962,0.5355,After,Autumn,full_model
Control - Reference (mean),-0.015671587525559794,-0.002242117751956263,-0.270343384364668,0.18262121732459158,0.416,After,Autumn,full_model
Stone_pile - Reference (mean),0.018017242545283984,0.0034398682762394883,-0.15662917292726072,0.23526919101475663,0.6226,After,Autumn,full_model
Stone_pile - Control,0.08003549150112507,0.040071682929009506,-0.46287707100493924,0.6232041041499086,0.6503,After,Winter,full_model
Reference1 - Reference2,0.10091972373178834,0.03196751180653018,-0.3983216226669327,0.6901645810477269,0.6452,After,Winter,full_model
Control - Reference (mean),-0.10588038255325773,-0.05660480570246945,-0.61298201432313,0.27671363238573987,0.3306,After,Winter,full_model
Stone_pile - Reference (mean),-0.025844891052132665,7.384562103140979e-6,-0.570205866073851,0.40303236338587417,0.5055,After,Winter,full_model
Stone_pile - Control,0.037519755161905255,0.013148221440368979,-0.45992763073977705,0.5335889678721248,0.6368,After,Spring,full_model
Reference1 - Reference2,0.07181151078892371,0.009217847505535837,-0.41653051069395086,0.6925841343800604,0.6165,After,Spring,full_model
Control - Reference (mean),-0.040350483398931124,-0.006669309886342567,-0.4791264407860912,0.297739341915954,0.419,After,Spring,full_model
Stone_pile - Reference (mean),-0.0028307282370258692,0.003533320503890658,-0.5418498112702042,0.39625311816549674,0.5661,After,Spring,full_model
BACI: (Stone_pile After-Before) - (Control After-Before),0.07589189873195697,0.040395958035149226,-0.25573906472998825,0.4687631458583867,0.6623,Before-vs-After,Summer,full_model
Stone_pile - Control,0.005362427184228139,1.501162228547126e-4,-0.2970697357807477,0.30419193021233515,0.5394,After,NA,summer_model
Reference1 - Reference2,-0.03411689539825728,-0.0033440164158808905,-0.3704601421931051,0.16357260500958334,0.3999,After,NA,summer_model
Control - Reference (mean),-0.03754015783074417,-0.003454068460462645,-0.3287097067369224,0.11697923151620444,0.4064,After,NA,summer_model
Stone_pile - Reference (mean),-0.03217773064651603,-6.130476731774914e-4,-0.3756156678933025,0.17557758798960582,0.4628,After,NA,summer_model
BACI: (Stone_pile After-Before) - (Control After-Before),0.041848424970225936,0.0027319712846868294,-0.26315627492036237,0.4170763964184141,0.5765,Before-vs-After,NA,summer_model
Stone_pile - Control,0.0452685777299276,0.016387223750849667,-0.1798300575190971,0.34612071241052716,0.6943,After,Summer,warm_model
Reference1 - Reference2,-0.004515819292746754,1.2535654135409358e-4,-0.3073677591687964,0.25329783144968626,0.518,After,Summer,warm_model
Control - Reference (mean),-0.04637755313003064,-0.012216687417020866,-0.34610764064404725,0.1205978823562038,0.365,After,Summer,warm_model
Stone_pile - Reference (mean),-0.0011089754001030402,0.0023774675836750747,-0.2541126440561898,0.19403242759887007,0.5719,After,Summer,warm_model
Stone_pile - Control,0.054115108007194906,0.021357953265620733,-0.15465135306935016,0.3690558986039715,0.6943,After,Autumn,warm_model
Reference1 - Reference2,0.008009037160548984,1.342609818895113e-4,-0.26768225077193,0.2914798371879564,0.518,After,Autumn,warm_model
Control - Reference (mean),-0.04775250945324713,-0.014459569289011376,-0.34610942067634864,0.13193884992117755,0.3655,After,Autumn,warm_model
Stone_pile - Reference (mean),0.00636259855394777,0.0029861665735830267,-0.22614258756259,0.21076597009086137,0.5709,After,Autumn,warm_model
BACI: (Stone_pile After-Before) - (Control After-Before),0.06144199449461934,0.017105928955210237,-0.20882896214215885,0.44047434992441087,0.6415,Before-vs-After,Summer,warm_model
