"model_id","RQ","species","response_type","comparison","time_frame","term","estimate","std.error","statistic","p.value","p_adj_BH","conf.low","conf.high"
"M1aac","RQ1","Catfish","abundance","treatment","before","(Intercept)",-2.303,0.908,-2.535,0.011,NA,-4.083,-0.522
"M1aac","RQ1","Catfish","abundance","treatment","before","Site_type_detailStone_pile",-0.693,1.535,-0.452,0.652,0.783,-3.701,2.315
"M1abc","RQ1","Catfish","biomass","treatment","before","(Intercept)",3.203,1.279,2.504,0.012,NA,0.696,5.709
"M1abc","RQ1","Catfish","biomass","treatment","before","Site_type_detailStone_pile",-5.1,3.107,-1.641,0.101,0.403,-11.19,0.99
"M1aak","RQ1","Kōura","abundance","treatment","before","(Intercept)",-1.897,0.785,-2.415,0.016,NA,-3.437,-0.358
"M1aak","RQ1","Kōura","abundance","treatment","before","Site_type_detailStone_pile",0.288,1.044,0.276,0.783,0.783,-1.759,2.334
"M1abk","RQ1","Kōura","biomass","treatment","before","(Intercept)",1.03,0.83,1.241,0.215,NA,-0.597,2.656
"M1abk","RQ1","Kōura","biomass","treatment","before","Site_type_detailStone_pile",1.044,0.977,1.068,0.286,0.571,-0.872,2.959
"M1bac","RQ1","Catfish","abundance","reference","before","(Intercept)",-102.299,32.656,-3.133,0.002,NA,-166.303,-38.295
"M1bac","RQ1","Catfish","abundance","reference","before","Site_type_detailReference_2",-1.655,0.536,-3.087,0.002,0.004,-2.706,-0.604
"M1bac","RQ1","Catfish","abundance","reference","before","Temperature",4.079,1.293,3.154,0.002,NA,1.544,6.613
"M1bbc","RQ1","Catfish","biomass","reference","before","(Intercept)",-153.136,37.363,-4.099,0,NA,-226.366,-79.906
"M1bbc","RQ1","Catfish","biomass","reference","before","Site_type_detailReference_2",-2.569,0.743,-3.457,0.001,0.002,-4.026,-1.112
"M1bbc","RQ1","Catfish","biomass","reference","before","Temperature",6.315,1.482,4.261,0,NA,3.41,9.22
"M1bak","RQ1","Kōura","abundance","reference","before","(Intercept)",0.742,0.553,1.343,0.179,NA,-0.341,1.825
"M1bak","RQ1","Kōura","abundance","reference","before","Site_type_detailReference_2",0.031,0.778,0.04,0.968,0.968,-1.494,1.557
"M1bbk","RQ1","Kōura","biomass","reference","before","(Intercept)",3.623,0.478,7.58,0,NA,2.686,4.56
"M1bbk","RQ1","Kōura","biomass","reference","before","Site_type_detailReference_2",-0.041,0.681,-0.061,0.952,0.968,-1.375,1.293
"M2aac","RQ2a","Catfish","abundance","vs_control","full","(Intercept)",-3.777,1.721,-2.196,0.028,NA,-7.15,-0.405
"M2aac","RQ2a","Catfish","abundance","vs_control","full","PeriodAfter",0.664,1.505,0.442,0.659,NA,-2.285,3.613
"M2aac","RQ2a","Catfish","abundance","vs_control","full","siteStone_pile",-0.694,1.752,-0.396,0.692,NA,-4.127,2.738
"M2aac","RQ2a","Catfish","abundance","vs_control","full","monitoring_int",-0.291,0.336,-0.868,0.385,NA,-0.949,0.367
"M2aac","RQ2a","Catfish","abundance","vs_control","full","PeriodAfter:siteStone_pile",2.007,1.956,1.026,0.305,0.861,-1.828,5.842
"M2abc","RQ2a","Catfish","biomass","vs_control","full","(Intercept)",1.77,2.734,0.647,0.517,NA,-3.589,7.128
"M2abc","RQ2a","Catfish","biomass","vs_control","full","PeriodAfter",-0.33,2.264,-0.146,0.884,NA,-4.767,4.107
"M2abc","RQ2a","Catfish","biomass","vs_control","full","siteStone_pile",-5.279,5.667,-0.932,0.352,NA,-16.386,5.827
"M2abc","RQ2a","Catfish","biomass","vs_control","full","monitoring_int",-0.354,0.483,-0.731,0.465,NA,-1.301,0.594
"M2abc","RQ2a","Catfish","biomass","vs_control","full","PeriodAfter:siteStone_pile",5.309,5.572,0.953,0.341,0.861,-5.611,16.229
"M2aoc","RQ2a","Catfish","occupancy","vs_control","full","(Intercept)",-2.029,1.853,-1.095,0.274,NA,-5.661,1.604
"M2aoc","RQ2a","Catfish","occupancy","vs_control","full","PeriodAfter",-0.148,1.734,-0.085,0.932,NA,-3.548,3.251
"M2aoc","RQ2a","Catfish","occupancy","vs_control","full","siteStone_pile",0,1.947,0,1,NA,-3.815,3.815
"M2aoc","RQ2a","Catfish","occupancy","vs_control","full","monitoring_int",-0.16,0.255,-0.628,0.53,NA,-0.661,0.34
"M2aoc","RQ2a","Catfish","occupancy","vs_control","full","PeriodAfter:siteStone_pile",0.374,2.132,0.175,0.861,0.861,-3.805,4.552
"M2aak","RQ2a","Kōura","abundance","vs_control","full","(Intercept)",-2.758,1.183,-2.331,0.02,NA,-5.077,-0.439
"M2aak","RQ2a","Kōura","abundance","vs_control","full","PeriodAfter",2.387,0.974,2.451,0.014,NA,0.478,4.295
"M2aak","RQ2a","Kōura","abundance","vs_control","full","siteStone_pile",0.76,1.338,0.568,0.57,NA,-1.862,3.382
"M2aak","RQ2a","Kōura","abundance","vs_control","full","monitoring_int",-0.257,0.082,-3.144,0.002,NA,-0.418,-0.097
"M2aak","RQ2a","Kōura","abundance","vs_control","full","PeriodAfter:siteStone_pile",0.295,1.229,0.24,0.81,0.861,-2.113,2.703
"M2abk","RQ2a","Kōura","biomass","vs_control","full","(Intercept)",0.306,1.334,0.229,0.819,NA,-2.309,2.921
"M2abk","RQ2a","Kōura","biomass","vs_control","full","PeriodAfter",2.273,1.243,1.829,0.067,NA,-0.163,4.709
"M2abk","RQ2a","Kōura","biomass","vs_control","full","siteStone_pile",1.423,1.557,0.914,0.36,NA,-1.627,4.474
"M2abk","RQ2a","Kōura","biomass","vs_control","full","monitoring_int",-0.205,0.11,-1.857,0.063,NA,-0.421,0.011
"M2abk","RQ2a","Kōura","biomass","vs_control","full","PeriodAfter:siteStone_pile",-0.363,1.467,-0.247,0.805,0.861,-3.239,2.514
"M2aok","RQ2a","Kōura","occupancy","vs_control","full","(Intercept)",-0.69,1.643,-0.42,0.674,NA,-3.911,2.53
"M2aok","RQ2a","Kōura","occupancy","vs_control","full","PeriodAfter",1.913,1.556,1.23,0.219,NA,-1.136,4.963
"M2aok","RQ2a","Kōura","occupancy","vs_control","full","siteStone_pile",0.013,2.121,0.006,0.995,NA,-4.144,4.171
"M2aok","RQ2a","Kōura","occupancy","vs_control","full","monitoring_int",-0.286,0.215,-1.333,0.183,NA,-0.708,0.135
"M2aok","RQ2a","Kōura","occupancy","vs_control","full","PeriodAfter:siteStone_pile",1.013,1.762,0.575,0.565,0.861,-2.44,4.466
"M2bac","RQ2b","Catfish","abundance","vs_control","after","(Intercept)",-1.618,1.684,-0.961,0.337,NA,-4.92,1.683
"M2bac","RQ2b","Catfish","abundance","vs_control","after","siteStone_pile",-1.534,2.43,-0.631,0.528,NA,-6.297,3.229
"M2bac","RQ2b","Catfish","abundance","vs_control","after","monitoring_int",-0.638,0.426,-1.496,0.135,NA,-1.473,0.198
"M2bac","RQ2b","Catfish","abundance","vs_control","after","siteStone_pile:monitoring_int",0.816,0.567,1.438,0.15,0.239,-0.296,1.927
"M2bbc","RQ2b","Catfish","biomass","vs_control","after","(Intercept)",3.836,1.951,1.966,0.049,NA,0.013,7.659
"M2bbc","RQ2b","Catfish","biomass","vs_control","after","siteStone_pile",-4.241,3.419,-1.24,0.215,NA,-10.943,2.46
"M2bbc","RQ2b","Catfish","biomass","vs_control","after","monitoring_int",-0.951,0.667,-1.426,0.154,NA,-2.258,0.356
"M2bbc","RQ2b","Catfish","biomass","vs_control","after","siteStone_pile:monitoring_int",1.319,0.934,1.411,0.158,0.239,-0.513,3.15
"M2boc","RQ2b","Catfish","occupancy","vs_control","after","(Intercept)",-0.729,1.592,-0.458,0.647,NA,-3.849,2.39
"M2boc","RQ2b","Catfish","occupancy","vs_control","after","siteStone_pile",-1.711,2.262,-0.757,0.449,NA,-6.144,2.722
"M2boc","RQ2b","Catfish","occupancy","vs_control","after","monitoring_int",-0.544,0.423,-1.287,0.198,NA,-1.374,0.285
"M2boc","RQ2b","Catfish","occupancy","vs_control","after","siteStone_pile:monitoring_int",0.686,0.529,1.298,0.194,0.239,-0.35,1.723
"M2bak","RQ2b","Kōura","abundance","vs_control","after","(Intercept)",0.003,0.899,0.003,0.997,NA,-1.758,1.764
"M2bak","RQ2b","Kōura","abundance","vs_control","after","siteStone_pile",0.428,1.213,0.353,0.724,NA,-1.949,2.806
