Season,Period,Site type,ψ (mean [95% CrI])
Summer,Before,Stone pile,0.81 [0.26–1.00]
Summer,Before,Control,0.82 [0.34–1.00]
Summer,Before,Reference 1,0.86 [0.36–1.00]
Summer,Before,Reference 2,0.89 [0.49–1.00]
Summer,After,Stone pile,0.93 [0.64–1.00]
Summer,After,Control,0.89 [0.53–1.00]
Summer,After,Reference 1,0.93 [0.62–1.00]
Summer,After,Reference 2,0.94 [0.67–1.00]
Autumn,After,Stone pile,0.93 [0.69–1.00]
Autumn,After,Control,0.88 [0.53–1.00]
Autumn,After,Reference 1,0.93 [0.65–1.00]
Autumn,After,Reference 2,0.92 [0.63–1.00]
