"Site","Type","Habitat","Substrate index","Slope (m/m)","Fetch (km)","Riparian veg. (%)","Overhang (%)","Wood cover (%)"
"1","Stone_pile","Rocky",5.2,0.12,4.76,0,10,0
"2","Control","Rocky",4.4,0.11,4.79,70,0,0
"3","Stone_pile","Sandy",3,0.01,1.71,100,0,0
"4","Control","Sandy",3,0.01,1.74,80,5,0
"5","Stone_pile","Sandy",2.4,0.01,0.61,10,0,0
"6","Control","Sandy",3,0.01,0.55,0,0,0
"7","Stone_pile","Sandy",3,0.06,2.5,100,0,0
"8","Control","Sandy",3,0.05,2.22,30,0,0
"9","Stone_pile","Sandy",3.35,0.08,3.59,0,0,3
"10","Control","Rocky",5,0.09,3.74,20,0,0
"11","Reference","Rocky",6.6,0.16,4.47,0,0,0
"12","Reference","Rocky",6.2,0.12,4.17,100,100,0
"13","Reference","Sandy",3.6,0.09,1.71,100,100,0
"14","Reference","Sandy",3.5,0.11,1.65,100,100,0
"15","Reference","Rocky",5.2,0.03,1.44,100,100,6
"16","Reference","Rocky",5.2,0.04,1.4,100,100,2
"17","Reference","Rocky",5,0.05,3.47,100,100,30
"18","Reference","Rocky",6.2,0.05,3.46,100,100,7
"19","Reference","Rocky",5.7,0.11,2.63,100,100,4
"20","Reference","Rocky",5.7,0.13,2.87,100,100,0
